C:\ProgramData\Anaconda3\envs\tensorflow\python.exe C:/python/pythonProject8/agent.py
2021-05-02 21:28:25.240760: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'cudart64_110.dll'; dlerror: cudart64_110.dll not found
2021-05-02 21:28:25.242457: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2021-05-02 21:28:38.192622: I tensorflow/compiler/jit/xla_cpu_device.cc:41] Not creating XLA devices, tf_xla_enable_xla_devices not set
2021-05-02 21:28:38.201110: W tensorflow/stream_executor/platform/default/dso_loader.cc:60] Could not load dynamic library 'nvcuda.dll'; dlerror: nvcuda.dll not found
2021-05-02 21:28:38.201773: W tensorflow/stream_executor/cuda/cuda_driver.cc:326] failed call to cuInit: UNKNOWN ERROR (303)
2021-05-02 21:28:38.222260: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:169] retrieving CUDA diagnostic information for host: LAPTOP-JDE9VFPB
2021-05-02 21:28:38.222911: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:176] hostname: LAPTOP-JDE9VFPB
2021-05-02 21:28:38.225183: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
2021-05-02 21:28:38.226989: I tensorflow/compiler/jit/xla_gpu_device.cc:99] Not creating XLA devices, tf_xla_enable_xla_devices not set
에피소드 5800 : 759, epsilon: 0.08247499407983327, 보상 합:683
에피소드 5900 : 168, epsilon: 0.07845166017537016, 보상 합:100
에피소드 6000 : 999, epsilon: 0.0746245944354265, 보상 합:995
에피소드 6100 : 999, epsilon: 0.07098422241420221, 보상 합:982
에피소드 6200 : 999, epsilon: 0.06752143673100997, 보상 합:937
에피소드 6300 : 999, epsilon: 0.06422757428568535, 보상 합:925
에피소드 6400 : 999, epsilon: 0.061094394585485615, 보상 합:964
에피소드 6500 : 999, epsilon: 0.05811405912925629, 보상 합:943
에피소드 6600 : 156, epsilon: 0.05527911179728818, 보상 합:63
에피소드 6700 : 999, epsilon: 0.052582460197806366, 보상 합:992
에피소드 6800 : 999, epsilon: 0.05001735792342319, 보상 합:958
에피소드 6900 : 211, epsilon: 0.04757738767316547, 보상 합:146
에피소드 7000 : 999, epsilon: 0.04525644519785055, 보상 합:987
에피소드 7100 : 999, epsilon: 0.04304872402864694, 보상 합:981
에피소드 7200 : 648, epsilon: 0.04094870095061335, 보상 합:596
에피소드 7300 : 999, epsilon: 0.038951122184874364, 보상 합:1003
에피소드 7400 : 999, epsilon: 0.03705099024486357, 보상 합:1008
에피소드 7500 : 999, epsilon: 0.03524355143375197, 보상 합:1008
에피소드 7600 : 999, epsilon: 0.033524283951782224, 보상 합:1002
에피소드 7700 : 999, epsilon: 0.03188888658375702, 보상 합:983
에피소드 7800 : 999, epsilon: 0.030333267938379253, 보상 합:985
에피소드 7900 : 999, epsilon: 0.03, 보상 합:980
에피소드 8000 : 715, epsilon: 0.03, 보상 합:620
에피소드 8100 : 999, epsilon: 0.03, 보상 합:961
에피소드 8200 : 999, epsilon: 0.03, 보상 합:1011
에피소드 8300 : 999, epsilon: 0.03, 보상 합:961
에피소드 8400 : 999, epsilon: 0.03, 보상 합:969
에피소드 8500 : 999, epsilon: 0.03, 보상 합:982
에피소드 8600 : 537, epsilon: 0.03, 보상 합:473
에피소드 8700 : 999, epsilon: 0.03, 보상 합:1000
에피소드 8800 : 999, epsilon: 0.03, 보상 합:960
에피소드 8900 : 307, epsilon: 0.03, 보상 합:244
에피소드 9000 : 999, epsilon: 0.03, 보상 합:1000
에피소드 9100 : 999, epsilon: 0.03, 보상 합:975
에피소드 9200 : 999, epsilon: 0.03, 보상 합:953
에피소드 9300 : 999, epsilon: 0.03, 보상 합:983
에피소드 9400 : 999, epsilon: 0.03, 보상 합:988
에피소드 9500 : 999, epsilon: 0.03, 보상 합:961
에피소드 9600 : 999, epsilon: 0.03, 보상 합:1010
에피소드 9700 : 999, epsilon: 0.03, 보상 합:1013
에피소드 9800 : 999, epsilon: 0.03, 보상 합:970
에피소드 9900 : 999, epsilon: 0.03, 보상 합:944

Process finished with exit code 0
